20180427 	139000 	141500 	138500 	140500 
20180430 	141000 	142000 	139000 	140000 
20180502 	133000 	135000 	131000 	132000 
20180503 	132500 	135000 	131500 	132500 
20180504 	132500 	132500 	128000 	128500 
20180508 	128500 	131000 	127000 	127500 
20180509 	128000 	130000 	127500 	129000 
20180510 	130000 	131000 	127000 	127000 
20180511 	127500 	129500 	127500 	129500 
20180514 	129000 	130000 	127000 	127500 
20180515 	127500 	129500 	127500 	128500 
20180516 	128500 	131000 	127500 	130500 
20180517 	130500 	130500 	128500 	129000 
20180518 	131500 	132000 	129000 	129500 
20180521 	131000 	131500 	129000 	130000 
20180523 	129500 	130500 	128500 	130000 
20180524 	130000 	130500 	129000 	129000 
20180525 	128500 	130000 	128000 	129500 
20180528 	130000 	131000 	128500 	130500 
20180529 	130000 	130000 	128000 	128500 
20180530 	127500 	128000 	124500 	125000 
20180531 	126500 	127000 	125000 	125500 
20180601 	125000 	126500 	124500 	125000 
20180604 	124000 	125500 	123500 	124000 
20180605 	124500 	125000 	123500 	123500 
20180607 	124000 	126500 	123500 	123500 
20180608 	124000 	125000 	123500 	124000 
20180611 	124500 	125500 	124000 	125500 
20180612 	126000 	127000 	125500 	126500 
20180614 	126000 	126000 	122500 	122500 
20180615 	123500 	124000 	121000 	122000 
20180618 	121500 	122000 	119000 	119500 
20180619 	118500 	120500 	115500 	116500 
20180620 	116000 	119000 	116000 	118000 
20180621 	117500 	118000 	115500 	115500 
20180622 	115000 	118500 	115000 	118000 
20180625 	118500 	119000 	117000 	117000 
20180626 	116000 	117500 	115500 	117000 
20180627 	116500 	119000 	116000 	118000 
20180628 	118000 	118000 	116500 	116500 
20180629 	117500 	118000 	115000 	116500 
20180702 	117000 	117500 	115000 	115000 
20180703 	116000 	116000 	112000 	112500 
20180704 	112500 	115500 	112500 	113500 
20180705 	113000 	114500 	112500 	113500 
20180706 	113500 	117000 	113500 	116000 
20180709 	115500 	119500 	115000 	119000 
20180710 	119000 	119500 	117500 	118000 
20180711 	117000 	118000 	116000 	117000 
20180712 	117500 	121500 	117000 	120500 
20180713 	118000 	119500 	115000 	116000 
20180716 	116500 	118500 	116500 	117500 
20180717 	117000 	120500 	117000 	119500 
20180718 	120500 	123500 	119000 	119500 
20180719 	120500 	121500 	119500 	120500 
20180720 	121000 	121000 	119000 	121000 
20180723 	121000 	122500 	120000 	121500 
20180724 	122000 	122000 	121000 	121500 
20180725 	122000 	122000 	119000 	119000 
20180726 	121500 	122500 	119500 	120500 
20180727 	120500 	123500 	120000 	123000 
20180730 	122500 	124000 	122500 	124000 
20180731 	124000 	124000 	122500 	123500 
